ranking,name,age,weight,height,ufc_wins,ufc_loses,ufc_draws,ufc_no_contests,mma_wins,mma_loses,mma_draws,mma_no_contests
,Song Kenan,33,170,1.83,4,3,0,0,19,7,0,0
,Muslim Salikhov,39,170,1.8,6,2,0,0,19,3,0,0
8,Geoff Neal,32,170,1.8,7,3,0,0,15,5,0,0
,Kevin Holland,30,170,1.91,11,6,0,1,24,9,0,1
15,Michel Pereira,29,170,1.88,6,2,0,0,28,11,0,2
,Miguel Baeza,30,170,1.88,3,3,0,0,10,3,0,0
9,Sean Brady,30,170,1.75,5,1,0,0,15,1,0,0
,Abubakar Nurmagomedov,33,170,1.8,2,2,0,0,17,4,1,0
,Khaos Williams,29,170,1.83,5,2,0,0,14,3,0,0
,Daniel Rodriguez,36,170,1.88,7,3,0,0,17,4,0,0
,Gabriel Green,30,170,1.78,2,3,0,0,11,5,0,0
4,Khamzat Chimaev,29,170,1.88,6,0,0,0,12,0,0,0
,Joaquin Buckley,29,170,1.73,6,4,0,0,16,6,0,0
,Matthew Semelsberger,30,170,1.85,5,3,0,0,11,5,0,0
6,Shavkat Rakhmonov,28,170,1.85,5,0,0,0,17,0,0,0
,Ramiz Brahimaj,30,170,1.78,2,2,0,0,10,4,0,0
,Jared Gooden,29,170,1.83,1,4,0,0,22,9,0,0
,Philip Rowe,32,170,1.91,3,1,0,0,10,3,0,0
,Carlston Harris,35,170,1.83,3,1,0,0,18,5,0,0
,Jeremiah Wells,36,170,1.75,4,0,0,0,12,2,1,0
,Preston Parsons,27,170,1.8,1,2,0,0,10,4,0,0
,Bryan Battle,28,170,1.85,4,1,0,0,9,2,0,0
,Gilbert Urbina,27,170,1.91,1,1,0,0,7,2,0,0
,Martin Sano Jr,32,170,1.8,0,1,0,0,4,3,1,0
13,Ian Machado Garry,25,170,1.91,5,0,0,0,12,0,0,0
14,Jack Della Maddalena,26,170,1.8,4,0,0,0,14,2,0,0
,Pete Rodriguez,26,170,1.75,1,1,0,0,5,1,0,0
,Michael Morales,23,170,1.83,2,0,0,0,14,0,0,0
,Andre Fialho,29,170,1.83,2,4,0,0,16,7,0,1
,Mike Mathetha,34,170,1.8,0,2,0,0,3,2,0,0
,AJ Fletcher,26,170,1.78,1,2,0,0,10,2,0,0
,Mike Malott,31,170,1.85,3,0,0,0,10,1,1,0
,Ange Loosa,29,170,1.78,1,1,0,0,9,3,0,0
,Yohan Lainesse,30,170,1.85,1,2,0,0,8,2,0,0
,Rinat Fakhretdinov,31,170,1.83,2,0,0,0,20,1,0,0
,Adam Fugitt,34,170,1.85,1,2,0,0,9,4,0,0
,Josh Quinlan,30,170,1.83,1,0,0,0,6,1,0,1
,Gabriel Bonfim,25,170,1.85,1,0,0,0,14,0,0,0
,Yusaku Kinoshita,22,170,1.83,0,1,0,0,6,2,0,0
,Themba Gorimbo,32,170,1.85,1,1,0,0,11,4,0,0
,Trey Waters,28,170,1.96,1,0,0,0,8,1,0,0
,Rolando Bedoya,26,170,1.8,0,1,0,0,14,2,0,0
,Clay Guida,41,155,1.7,19,15,0,0,38,23,0,0
,Jim Miller,39,155,1.73,25,16,0,1,36,17,0,1
1,Charles Oliveira,33,155,1.78,22,9,0,1,34,9,0,1
2,Dustin Poirier,34,155,1.75,22,7,0,1,29,7,0,1
,Michael Johnson,37,155,1.75,13,15,0,0,21,19,0,0
,John Makdessi,38,155,1.73,11,8,0,0,18,8,0,0
,Bobby Green,36,155,1.78,14,10,1,1,29,14,1,1
,Drew Dober,34,155,1.73,12,8,0,1,26,12,0,1
,Vinc Pichel,40,155,1.78,7,3,0,0,14,3,0,0
,Conor McGregor,34,155,1.73,10,4,0,0,22,6,0,0
4,Beneil Dariush,34,155,1.78,16,5,1,0,22,5,1,0
11,Dan Hooker,33,155,1.83,12,8,0,0,22,12,0,0
,Carlos Diego Ferreira,38,155,1.73,9,5,0,0,18,5,0,0
,Gabriel Benitez,34,155,1.73,7,6,0,0,23,10,0,0
13,Renato Moicano,34,155,1.8,9,5,0,0,17,5,1,0
0,Islam Makhachev,31,155,1.78,13,1,0,0,24,1,0,0
,Joaquim Silva,34,155,1.73,5,3,0,0,12,3,0,0
,Chris Gruetzemacher,36,155,1.73,3,4,0,0,15,5,0,0
,David Teymur,34,155,1.75,5,1,0,0,8,2,0,0
,Damir Hadzovic,36,155,1.8,4,5,0,0,14,7,0,0
,Ricky Glenn,34,155,1.83,4,4,1,0,22,7,2,0
,Gregor Gillespie,36,155,1.75,7,1,0,0,14,1,0,0
,Marc Diakiese,30,155,1.78,7,6,0,0,16,6,0,0
,Claudio Puelles,27,155,1.8,5,2,0,0,12,3,0,0
,Drakkar Klose,35,155,1.73,7,2,0,0,13,2,1,0
,Jared Gordon,34,155,1.75,7,5,0,1,19,6,0,1
3,Justin Gaethje,34,155,1.8,7,4,0,0,24,4,0,0
,Lando Vannata,31,155,1.75,4,7,2,0,12,7,2,0
,Alex Reyes,36,155,1.8,0,1,0,0,13,3,0,0
,Nasrat Haqparast,27,155,1.78,6,4,0,0,14,5,0,0
14,Matt Frevola,33,155,1.75,5,3,1,0,11,3,1,0
12,Damir Ismagulov,32,155,1.78,5,1,0,0,24,2,0,0
,Alexander Hernandez,30,155,1.75,6,5,0,0,14,6,0,0
,Christos Giagos,33,155,1.78,6,6,0,0,20,10,0,0
,Thiago Moises,28,155,1.75,6,4,0,0,17,6,0,0
10,Jalin Turner,28,155,1.91,6,3,0,0,13,6,0,0
,Joel Alvarez,30,155,1.91,4,2,0,0,19,3,0,0
15,Grant Dawson,29,155,1.78,7,0,1,0,19,1,1,0
6,Rafael Fiziev,30,155,1.73,7,2,0,0,12,2,0,0
8,Arman Tsarukyan,26,155,1.75,6,2,0,0,19,3,0,0
,Mike Davis,30,155,1.83,3,1,0,0,10,2,0,0
,Fares Ziam,26,155,1.85,3,2,0,0,13,4,0,0
,Mark Madsen,38,155,1.78,4,1,0,0,12,1,0,0
,Jamie Mullarkey,28,155,1.73,4,4,0,0,16,6,0,0
,Ottman Azaitar,33,155,1.73,2,1,0,0,13,1,0,0
,Joe Solecki,29,155,1.75,5,1,0,0,13,3,0,0
,Chase Hooper,23,155,1.85,4,3,0,0,12,3,1,0
,Jai Herbert,35,155,1.85,2,3,1,0,12,4,1,0
,Alexander Munoz,33,155,1.75,0,2,0,0,6,2,0,0
,Ludovit Klein,28,155,1.73,3,2,1,0,19,4,1,0
7,Mateusz Gamrot,32,155,1.78,5,2,0,0,22,2,0,0
,Guram Kutateladze,31,155,1.8,1,1,0,0,12,3,0,0
,Jordan Leavitt,28,155,1.8,4,2,0,0,11,2,0,0
5,Michael Chandler,37,155,1.73,2,3,0,0,23,8,0,0
,Uros Medic,30,155,1.85,2,1,0,0,8,1,0,0
,Rafa Garcia,28,155,1.7,4,3,0,0,15,3,0,0
,Ignacio Bahamondes,25,155,1.91,3,1,0,0,14,4,0,0
,Terrance McKinney,28,155,1.78,3,2,0,0,13,5,0,0
,Paddy Pimblett,28,155,1.78,4,0,0,0,20,3,0,0
,Mike Breeden,34,155,1.78,0,2,0,0,10,5,0,0
